Name,Time,All Other,E&SE Asian,,,All Other,E&SE Asian
Harry Potter and the Philosopher's Stone (2001),"November 16, 2001",01:09:53,00:00:00,,,4193,0
The Lord of the Rings: The Return of the King (2003),"December 18, 2003",01:20:09,00:00:00,,,4809,0
Pirates of the Caribbean 2: Dead Man's Chest (2006),"July 7, 2006",01:00:31,00:00:00,,,3631,0
The Dark Knight (2008),"July 18, 2008",01:16:07,00:01:42,,,4567,102
Alice in Wonderland (2010),"March 5, 2010",00:38:07,00:00:00,,,2287,0
Harry Potter and the Deathly Hallows Part 2 (2011),"July 15, 2011",00:29:38,00:00:00,,,1778,0
Transformers 3: Dark of the Moon (2011),"June 29, 2011",01:04:23,00:01:24,,,3863,84
Pirates of the Caribbean 4: On Stranger Tides (2011),"May 20, 2011",00:57:57,00:00:00,,,3477,0
The Avengers (2012),"May 4, 2012",00:45:30,00:00:00,,,2730,0
Skyfall (2012),"November 9, 2012",00:37:10,00:00:00,,,2230,0
The Dark Knight Rises (2012),"July 20, 2012",01:17:08,00:00:00,,,4628,0
The Hobbit 1: An Unexpected Journey (2012),"December 14, 2012",01:10:18,00:00:00,,,4218,0
Iron Man 3 (2013),"May 3, 2013",00:58:05,00:00:02,,,3485,2
Transformers 4: Age of Extinction (2014),"June 27, 2014",01:11:45,00:01:07,,,4305,67
Star Wars: The Force Awakens (2015),"December 18, 2015",00:41:06,00:00:06,,,2466,6
Jurassic World (2015),"June 12, 2015",00:46:22,00:01:50,,,2782,110
Furious 7 (2015),"April 3, 2015",00:44:11,00:00:03,,,2651,3
Avengers 2: Age of Ultron (2015),"May 1, 2015",00:55:29,00:01:19,,,3329,79
Captain America 3: Civil War (2016),"May 6, 2016",00:57:11,00:00:00,,,3431,0
Rogue One - A Star Wars Story (2016),"December 16, 2016",00:43:48,00:03:06,,,2628,186
Star Wars 8 - The Last Jedi (2017),"December 15, 2017",00:45:22,00:03:20,,,2722,200
Beauty and the Beast (2017),"March 17, 2017",00:40:46,00:00:00,,,2446,0
The Fate of the Furious F8 (2017),"April 14, 2017",00:51:58,00:00:00,,,3118,0
Black Panther (2018),"February 16, 2018",00:47:53,00:00:00,,,2873,0
Avengers 3: Infinity War (2018),"April 27, 2018",00:50:20,00:01:05,,,3020,65
Jurassic World: Fallen Kingdom (2018),"June 22, 2018",00:38:43,00:01:34,,,2323,94
Aquaman (2018),"December 21, 2018",00:45:18,00:00:45,,,2718,45
Avengers 4: Endgame (2019),"April 26, 2019",01:03:15,00:00:14,,,3795,14
Spider-Man: Far From Home (2019),"July 2, 2019",00:56:52,00:04:09,,,3412,249
Captain Marvel (2019),"March 8, 2019",00:42:40,00:00:23,,,2560,23
Joker (2019),"October 4, 2019",00:38:15,00:00:00,,,2295,0
Star Wars: The Rise of Skywalker (2019),"December 20, 2019",00:49:05,00:00:21,,,2945,21
Aladdin (2019),"May 24, 2019",00:54:41,00:00:00,,,3281,0
Spider-Man: No Way Home (2021),"December 17, 2021",01:05:47,00:03:35,,,3947,215
Top Gun: Maverick (2022),"May 27, 2022",00:49:10,00:00:05,,,2950,5
