word,freq_text1,freq_text2,log_likelihood,key_in
peter,20,178,44.73715029440266,Text1
cradle,6,3,39.36599290080132,Text1
chirrut,5,1,36.90190216301332,Text1
hong,6,8,31.848720795209132,Text1
kong,6,9,30.809177675887522,Text1
regeneration,3,0,25.367524227173924,Text1
dude,8,42,24.913781088372346,Text1
wang,4,3,24.35083178027491,Text1
tracker,4,5,21.604996786015448,Text1
force,9,73,21.50256335852862,Text1
babe,5,14,20.789879286109898,Text1
codebreaker,4,6,20.539451783925017,Text1
monster,6,27,20.235172292519756,Text1
finn,8,62,19.71476274092266,Text1
seriously,6,31,18.846281564851658,Text1
chair,4,8,18.782105003720396,Text1
duties,3,2,18.696197274632848,Text1
baze,3,2,18.696197274632848,Text1
behavioral,2,0,16.91167369609092,Text1
traits,2,0,16.91167369609092,Text1
bachelors,2,0,16.91167369609092,Text1
deposits,2,0,16.91167369609092,Text1
raptor,3,4,15.924360397604566,Text1
betty,3,5,14.929442012226334,Text1
magic,6,52,13.681937077729431,Text1
genetic,3,7,13.355927700341937,Text1
kit,2,1,13.12199763360044,Text1
generators,2,1,13.12199763360044,Text1
sanctum,2,1,13.12199763360044,Text1
calculation,2,1,13.12199763360044,Text1
crystals,2,1,13.12199763360044,Text1
breaker,2,1,13.12199763360044,Text1
uploading,2,1,13.12199763360044,Text1
genetically,2,1,13.12199763360044,Text1
active,3,10,11.616045917358058,Text1
consciousness,2,2,11.425285158232633,Text1
cuttlefish,2,2,11.425285158232633,Text1
warships,2,2,11.425285158232633,Text1
we,87,4014,11.013489409933769,Text1
left,10,189,10.808079048013868,Text1
government,4,27,10.775003245424411,Text1
atlantean,3,12,10.708040832008555,Text1
higher,3,12,10.708040832008555,Text1
money,6,72,10.544922930238847,Text1
tracking,4,29,10.29943816038326,Text1
plom,2,3,10.269725891962509,Text1
acting,2,3,10.269725891962509,Text1
elemental,2,3,10.269725891962509,Text1
bloom,2,3,10.269725891962509,Text1
little,0,349,10.25357492535077,Text2
roof,3,14,9.934898720164501,Text1
lightspeed,3,15,9.588049896995857,Text1
prototype,3,15,9.588049896995857,Text1
dna,3,15,9.588049896995857,Text1
suddenly,2,4,9.391052501860198,Text1
makeup,2,4,9.391052501860198,Text1
factory,2,4,9.391052501860198,Text1
gem,2,4,9.391052501860198,Text1
kyber,2,4,9.391052501860198,Text1
costume,2,4,9.391052501860198,Text1
pilot,5,57,9.191474304498513,Text1
filled,2,5,8.682828240547227,Text1
central,2,5,8.682828240547227,Text1
hemorrhoids,1,0,8.455823740372063,Text1
travels,1,0,8.455823740372063,Text1
corresponding,1,0,8.455823740372063,Text1
