Distribution,Film NO.,,
,1 ,,Harry Potter and the Philosopher's Stone (2001)
,2 ,,The Lord of the Rings: The Return of the King (2003)
,3 ,,Pirates of the Caribbean 2: Dead Man's Chest (2006)
14.43%,4 ,,The Dark Knight (2008)
14.46%,4 ,,
14.63%,4 ,,
14.66%,4 ,,
14.71%,4 ,,
14.74%,4 ,,
14.83%,4 ,,
14.87%,4 ,,
14.90%,4 ,,
14.93%,4 ,,
14.98%,4 ,,
15.02%,4 ,,
15.07%,4 ,,
15.11%,4 ,,
15.14%,4 ,,
20.92%,4 ,,
20.94%,4 ,,
21.10%,4 ,,
21.19%,4 ,,
21.23%,4 ,,
21.27%,4 ,,
21.30%,4 ,,
21.34%,4 ,,
21.44%,4 ,,
21.65%,4 ,,
21.73%,4 ,,
21.82%,4 ,,
24.88%,4 ,,
25.16%,4 ,,
25.18%,4 ,,
25.20%,4 ,,
25.31%,4 ,,
25.35%,4 ,,
25.66%,4 ,,
25.68%,4 ,,
25.77%,4 ,,
35.26%,4 ,,
,5 ,,Alice in Wonderland (2010)
,6 ,,Harry Potter and the Deathly Hallows Part 2 (2011)
24.21%,7 ,,Transformers 3: Dark of the Moon (2011)
24.53%,7 ,,
24.55%,7 ,,
25.77%,7 ,,
26.03%,7 ,,
26.06%,7 ,,
26.08%,7 ,,
26.12%,7 ,,
26.14%,7 ,,
26.16%,7 ,,
26.17%,7 ,,
26.19%,7 ,,
26.22%,7 ,,
26.30%,7 ,,
26.36%,7 ,,
26.38%,7 ,,
26.40%,7 ,,
26.43%,7 ,,
26.46%,7 ,,
26.47%,7 ,,
26.50%,7 ,,
26.53%,7 ,,
26.56%,7 ,,
26.59%,7 ,,
26.68%,7 ,,
26.69%,7 ,,
26.73%,7 ,,
26.73%,7 ,,
26.77%,7 ,,
26.79%,7 ,,
26.90%,7 ,,
26.92%,7 ,,
26.95%,7 ,,
26.96%,7 ,,
26.99%,7 ,,
27.04%,7 ,,
27.08%,7 ,,
27.12%,7 ,,
27.54%,7 ,,
27.57%,7 ,,
27.59%,7 ,,
27.63%,7 ,,
27.76%,7 ,,
27.77%,7 ,,
27.79%,7 ,,
27.81%,7 ,,
27.83%,7 ,,
27.85%,7 ,,
27.91%,7 ,,
28.03%,7 ,,
28.09%,7 ,,
28.14%,7 ,,
28.19%,7 ,,
28.29%,7 ,,
28.32%,7 ,,
,8 ,,Pirates of the Caribbean 4: On Stranger Tides (2011)
,9 ,,The Avengers (2012)
,10 ,,Skyfall (2012)
,11 ,,The Dark Knight Rises (2012)
,12 ,,The Hobbit 1: An Unexpected Journey (2012)
1.20%,13 ,,Iron Man 3 (2013)
41.32%,14 ,,Transformers 4: Age of Extinction (2014)
41.36%,14 ,,
41.48%,14 ,,
41.51%,14 ,,
41.59%,14 ,,
65.84%,14 ,,
70.44%,14 ,,
70.49%,14 ,,
70.50%,14 ,,
70.96%,14 ,,
72.00%,14 ,,
72.05%,14 ,,
72.72%,14 ,,
73.00%,14 ,,
73.02%,14 ,,
73.18%,14 ,,
73.20%,14 ,,
73.24%,14 ,,
74.53%,14 ,,
74.54%,14 ,,
74.55%,14 ,,
74.63%,14 ,,
74.76%,14 ,,
75.40%,14 ,,
75.44%,14 ,,
75.53%,14 ,,
75.93%,14 ,,
75.95%,14 ,,
75.97%,14 ,,
76.32%,14 ,,
76.71%,14 ,,
76.77%,14 ,,
88.95%,14 ,,
89.71%,14 ,,
89.73%,14 ,,
89.79%,14 ,,
89.82%,14 ,,
97.70%,14 ,,
33.61%,15 ,,Star Wars: The Force Awakens (2015)
33.64%,15 ,,
33.80%,15 ,,
33.92%,15 ,,
34.05%,15 ,,
6.23%,16 ,,Jurassic World (2015)
6.28%,16 ,,
6.34%,16 ,,
6.53%,16 ,,
36.36%,16 ,,
36.39%,16 ,,
37.01%,16 ,,
40.19%,16 ,,
40.25%,16 ,,
40.33%,16 ,,
40.41%,16 ,,
40.48%,16 ,,
40.59%,16 ,,
40.68%,16 ,,
40.72%,16 ,,
40.77%,16 ,,
40.83%,16 ,,
40.85%,16 ,,
40.87%,16 ,,
40.89%,16 ,,
40.97%,16 ,,
41.02%,16 ,,
41.23%,16 ,,
41.29%,16 ,,
41.40%,16 ,,
41.45%,16 ,,
41.51%,16 ,,
41.55%,16 ,,
