1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,14.43%,,,24.21%,,,,,,1.20%,41.32%,33.61%,6.23%,4.78%,11.97%,,21.74%,6.21%,,,,7.13%,50.30%,26.08%,30.43%,3.26%,5.87%,,10.94%,,4.68%,39.62%
,,,14.46%,,,24.53%,,,,,,,41.36%,33.64%,6.28%,4.82%,12.00%,,21.82%,6.48%,,,,7.20%,50.33%,26.11%,30.46%,3.35%,8.33%,,12.52%,,4.78%,39.69%
,,,14.63%,,,24.55%,,,,,,,41.48%,33.80%,6.34%,5.00%,12.04%,,21.86%,25.60%,,,,7.24%,50.35%,26.14%,30.62%,3.41%,8.37%,,12.55%,,4.79%,39.74%
,,,14.66%,,,25.77%,,,,,,,41.51%,33.92%,6.53%,,12.09%,,21.89%,25.66%,,,,7.26%,50.38%,26.23%,30.67%,3.47%,8.42%,,12.57%,,4.85%,
,,,14.71%,,,26.03%,,,,,,,41.59%,34.05%,36.36%,,12.11%,,21.98%,25.69%,,,,7.30%,50.45%,26.24%,30.96%,3.64%,9.16%,,21.74%,,4.86%,
,,,14.74%,,,26.06%,,,,,,,65.84%,,36.39%,,12.09%,,22.09%,25.73%,,,,8.91%,50.49%,26.26%,30.98%,3.67%,9.60%,,62.39%,,4.90%,
,,,14.83%,,,26.08%,,,,,,,70.44%,,37.01%,,12.11%,,22.16%,25.75%,,,,8.93%,50.52%,49.36%,31.01%,3.72%,22.08%,,62.41%,,4.92%,
,,,14.87%,,,26.12%,,,,,,,70.49%,,40.19%,,12.23%,,22.23%,25.80%,,,,8.96%,50.62%,49.39%,76.17%,3.76%,22.11%,,62.58%,,5.02%,
,,,14.90%,,,26.14%,,,,,,,70.50%,,40.25%,,12.25%,,22.41%,25.81%,,,,8.98%,50.64%,93.89%,89.80%,3.79%,57.03%,,62.62%,,8.56%,
,,,14.93%,,,26.16%,,,,,,,70.96%,,40.33%,,12.29%,,25.87%,25.84%,,,,9.02%,50.67%,93.91%,,3.83%,57.22%,,77.00%,,9.88%,
,,,14.98%,,,26.17%,,,,,,,72.00%,,40.41%,,12.31%,,25.96%,25.87%,,,,9.06%,50.70%,93.96%,,4.07%,57.25%,,77.11%,,9.90%,
,,,15.02%,,,26.19%,,,,,,,72.05%,,40.48%,,12.34%,,26.01%,26.00%,,,,9.08%,50.72%,93.98%,,4.15%,71.52%,,89.45%,,9.93%,
,,,15.07%,,,26.22%,,,,,,,72.72%,,40.59%,,12.43%,,26.03%,26.04%,,,,9.90%,50.76%,94.00%,,4.17%,71.56%,,,,9.95%,
,,,15.11%,,,26.30%,,,,,,,73.00%,,40.68%,,12.47%,,26.06%,26.08%,,,,10.01%,50.81%,94.02%,,4.51%,79.45%,,,,10.19%,
,,,15.14%,,,26.36%,,,,,,,73.02%,,40.72%,,24.11%,,26.08%,26.12%,,,,12.35%,50.86%,94.04%,,8.28%,,,,,10.50%,
,,,20.92%,,,26.38%,,,,,,,73.18%,,40.77%,,24.13%,,26.37%,26.14%,,,,12.36%,50.88%,94.07%,,8.73%,,,,,11.11%,
,,,20.94%,,,26.40%,,,,,,,73.20%,,40.83%,,24.18%,,26.80%,26.16%,,,,12.38%,50.92%,94.10%,,8.81%,,,,,11.15%,
,,,21.10%,,,26.43%,,,,,,,73.24%,,40.85%,,45.49%,,26.83%,26.17%,,,,13.91%,50.94%,94.14%,,8.83%,,,,,11.58%,
,,,21.19%,,,26.46%,,,,,,,74.53%,,40.87%,,45.54%,,27.22%,26.19%,,,,18.08%,50.99%,94.18%,,8.86%,,,,,11.61%,
,,,21.23%,,,26.47%,,,,,,,74.54%,,40.89%,,45.62%,,27.25%,26.21%,,,,18.09%,51.02%,94.36%,,8.88%,,,,,11.94%,
,,,21.27%,,,26.50%,,,,,,,74.55%,,40.97%,,45.65%,,27.28%,26.23%,,,,18.12%,51.10%,94.39%,,8.90%,,,,,12.18%,
,,,21.30%,,,26.53%,,,,,,,74.63%,,41.02%,,52.13%,,27.30%,26.25%,,,,19.03%,51.11%,,,8.93%,,,,,12.23%,
,,,21.34%,,,26.56%,,,,,,,74.76%,,41.23%,,52.15%,,27.44%,26.30%,,,,19.42%,51.14%,,,8.96%,,,,,13.15%,
,,,21.44%,,,26.59%,,,,,,,75.40%,,41.29%,,52.19%,,27.69%,26.38%,,,,20.01%,51.15%,,,9.01%,,,,,13.17%,
,,,21.65%,,,26.68%,,,,,,,75.44%,,41.40%,,52.21%,,28.93%,26.43%,,,,20.05%,51.19%,,,9.04%,,,,,13.19%,
,,,21.73%,,,26.69%,,,,,,,75.53%,,41.45%,,54.16%,,28.96%,26.45%,,,,20.35%,51.24%,,,9.06%,,,,,13.21%,
,,,21.82%,,,26.73%,,,,,,,75.93%,,41.51%,,54.18%,,29.01%,26.48%,,,,21.81%,51.31%,,,9.16%,,,,,13.29%,
