FILM NO.,Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%-10%,11%-20%,21%-30%,31%-40%,41%-50%,51%-60%,61%-70%,71%-80%,81%-90%,91%-100%,,,,,,,,,,,,,,,,,,,,,,,,,
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
4 ,0,17 ,19 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,55,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
11,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
12,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
13,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,0,5,0,1,26,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,0,0,17,12,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,14,3,0,4,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,37,15,12,7,0,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,0,5,25,14,4,6,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
22,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
23,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
24,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,12,3,2,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,0,19,9,4,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,6,0,2,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,6,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
29,43,18,1,25,8,11,12,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,0,2,0,0,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,3,1,0,0,0,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
34,15,27,18,9,4,15,15,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
