sentence,siebert_sentiment,cardiff_sentiment,source
"Three of a kind, let's do this.",0.9988372921943665,0.9302664399147034,All_Other
That's it?,0.9535627961158752,0,All_Other
Three guys?,-0.996744275,0,All_Other
Two guys on the roof.,0.9764788150787354,0,All_Other
Every guy gets a share.,0.9963307976722717,0,All_Other
Five shares is plenty.,0.9979890584945679,0,All_Other
Six shares.,-0.962376773,0,All_Other
Don't forget the guy who planned the job.,-0.975162685,0,All_Other
He thinks he can sit it out and still take a slice.,-0.999117792,0,All_Other
I know why they call him the Joker.,-0.993858755,0,All_Other
why do they call him the Joker?,-0.99692291,-0.71501708,All_Other
I heard he wears makeup.,-0.953196406,0,All_Other
Makeup?,-0.988141716,0,All_Other
"Yeah, to scare people.",-0.990828276,-0.475843281,All_Other
"You know, war paint.",-0.995611727,0,All_Other
"All right, everybody, hands up, heads down!",-0.994197369,0.8425207734107971,All_Other
"I said, hands up, heads down!",-0.995983601,0.4885618984699249,All_Other
"Let's go, pal, I'm making a withdrawal here.",-0.990556359,0,All_Other
"I said, hands up!",0.9800562262535095,0,All_Other
No!,-0.996651113,0,All_Other
Here comes the silent alarm.,-0.991875768,0,All_Other
And there it goes.,-0.99795711,-0.620824516,All_Other
Heads down!,-0.998766065,0,All_Other
"All right, tootsie, you're taking a dive with me.",0.9940378665924072,0,All_Other
Down!,-0.998207569,0,All_Other
"I said, stay down there!",0.9954991936683655,0,All_Other
Don't hurt me!,0.9874845147132874,-0.727755249,All_Other
"Funny, it didn't dial 911.",-0.999309063,0,All_Other
It was trying to reach a private number.,-0.998413682,0,All_Other
Is it a problem?,-0.992113709,0,All_Other
"No, I'm done here.",-0.998304367,-0.697788715,All_Other
Sit down!,-0.990723073,0,All_Other
Down!,-0.998207569,0,All_Other
Down!,-0.998207569,0,All_Other
"I said, stay down there!",0.9954991936683655,0,All_Other
Obviously we don't want you doing anything with your hands other than holding on for dear life.,-0.997270167,-0.749604702,All_Other
On the ground!,-0.99729985,0,All_Other
Stay on the ground!,-0.986636341,0,All_Other
Nobody make a move!,-0.998011827,-0.691643596,All_Other
Nobody!,-0.997778714,0,All_Other
Stay down!,-0.998375893,0.5113257169723511,All_Other
You have any idea who you're stealing from?,-0.999437273,-0.606170475,All_Other
You and your friends are dead.,-0.997377753,-0.896828949,All_Other
"He's out, right?",-0.998363793,0,All_Other
What?,-0.997746646,0,All_Other
Where did you learn to count?,-0.99442035,0,All_Other
They wired this thing up with like 5000 volts.,-0.997625291,-0.757903337,All_Other
What kind of bank does that?,-0.999461591,-0.728204906,All_Other
A Mob bank.,-0.998229206,-0.541083157,All_Other
I guess the Joker's as crazy as they say.,-0.994365335,0,All_Other
Where's the alarm guy?,-0.994095922,0,All_Other
"Boss told me when the guy was done, I should take him out.",-0.998116136,0,All_Other
"One less share, right?",0.9705594182014465,0,All_Other
"Funny, he told me something similar.",-0.976722419,0.5809613466262817,All_Other
He what?,-0.998239756,0,All_Other
No!,-0.996651113,0,All_Other
No!,-0.996651113,0,All_Other
That's a lot of money.,-0.99841094,-0.671329141,All_Other
"If this Joker guy was so smart, he'd have had us bring a bigger car.",-0.9975788,0,All_Other
I'm betting the Joker told you to kill me soon as we loaded the cash.,-0.998944342,-0.75539428,All_Other
"No, no, no, I kill the bus driver.",-0.997671068,-0.757679939,All_Other
Bus driver?,-0.990846217,0,All_Other
What bus driver?,-0.995206296,0,All_Other
School's out.,0.9876041412353516,0,All_Other
Time to go.,-0.816481829,0,All_Other
"That guy's not getting up, is he?",-0.999470413,-0.660554349,All_Other
That's a lot of money.,-0.99841094,-0.671329141,All_Other
What happened to the rest of the guys?,-0.998373389,0,All_Other
"You think you're smart, huh?",-0.999318838,0,All_Other
The guy that hired youse he'll just do the same to you.,-0.999316216,-0.510193229,All_Other
"Oh, criminals in this town used to believe in things.",-0.99130708,-0.838733733,All_Other
Honor respect.,0.9980707764625549,0,All_Other
Look at you.,-0.983536661,0,All_Other
"What do you believe in, huh?",-0.998730242,0,All_Other
What do you believe in?!,0.9973087310791016,0,All_Other
I believe whatever doesn't kill you simply makes you stranger.,-0.997964859,0,All_Other
"Mr. Mayor, you were elected in a campaign to clean up the city.",0.9959821701049805,0,All_Other
When are You gonna start?,-0.984231055,0,All_Other
I already have.,0.9480775594711304,0,All_Other
Like this Batman.,0.9985669255256653,0.5234326720237732,All_Other
"We're hearing he's doing good, criminals are running scared.",0.9918258190155029,-0.477204055,All_Other
"No, man.",-0.997403562,0,All_Other
I don't like it tonight.,-0.999488115,-0.924170852,All_Other
"What are you, superstitious?",-0.997935772,0,All_Other
You got more chance of winning the Powerball than running into him.,-0.998740971,0,All_Other
That's not true.,-0.99796021,-0.568509042,All_Other
Our men in the Major Crimes Unit are close to an arrest.,0.9955444931983948,0,All_Other
"Hey, Wuertz, mayor says you're closing in on the Batman.",0.9959725737571716,0,All_Other
The investigation is ongoing.,-0.986316741,0,All_Other
The process of cleaning up the streets is a long one.,-0.996360719,-0.623716772,All_Other
"I pledged in my campaign, uh, to have Ever intending to see your wife again, lieutenant?",-0.996428907,0,All_Other
"I thought you had to go look after your mother, detective.",-0.99658078,0,All_Other
Checked her back into the hospital.,0.9931865930557251,0,All_Other
I'm sorry.,-0.997330189,-0.60357362,All_Other
